21	98	93	14	98	64	14	98	64	14	98	64
5	74	65	5	74	65	5	74	65	5	74	65
24	126	93	16	126	63	16	126	59	16	126	59
5	74	65	5	74	65	5	74	65	5	74	65
29	130	111	22	130	86	22	130	68	22	130	68
41	303	236	24	303	188	22	303	168	22	303	168
93	351	278	31	351	141	26	351	107	26	351	107
90	503	328	52	503	240	31	503	174	31	503	164
20	517	276	14	517	248	14	517	248	14	517	248
-	-	-	57	633	305	29	633	225	29	633	219
