14	98	64	22	75	77	24	67	75
5	74	65	7	64	45	13	64	56
16	126	63	36	87	79	50	80	105
5	74	65	7	64	45	13	64	56
22	130	86	42	92	92	44	71	98
24	303	188	45	213	203	62	197	229
31	351	141	110	263	259	126	183	264
52	503	240	124	318	315	110	240	269
14	517	248	144	516	427	209	284	493
57	633	305	204	479	500	219	378	522
